"Gene name"	"Log₂FC"	"FDR"	"Coverage Group 1"	"Coverage Group 2"	"Mean Group 1"	"Mean Group 2"
"ABCB4"	"0.8888373374938965"	"1.4666533745144486e-82"	"0.16989511251449585"	"0.12483646720647812"	"0.026405321434140205"	"0.014346705749630928"
"ABCB6"	"-1.2774624824523926"	"0"	"0.07667957991361618"	"0.23316682875156403"	"0.012696264311671257"	"0.030503500252962112"
"ABCB7"	"-0.415149450302124"	"1.3388640626768685e-160"	"0.4941887855529785"	"0.7307116985321045"	"0.14070284366607666"	"0.18353667855262756"
"ABCB8"	"-0.10628461837768555"	"8.69234252506006e-9"	"0.4183124005794525"	"0.6231289505958557"	"0.09679707139730453"	"0.10382580757141113"
"ABCB9"	"-0.6947565078735352"	"2.0226794739740074e-115"	"0.15723329782485962"	"0.3285505473613739"	"0.023057986050844193"	"0.037060242146253586"
"ABCC1"	"-0.19218969345092773"	"2.3037019963940247e-21"	"0.4321553409099579"	"0.5676215291023254"	"0.11805446445941925"	"0.13379721343517303"
"ABCC10"	"0.38812875747680664"	"1.0189641678256094e-45"	"0.3175375461578369"	"0.41187962889671326"	"0.059056203812360764"	"0.045437056571245193"
"ABCC3"	"-2.087872266769409"	"0"	"0.1279410421848297"	"0.334216833114624"	"0.030668139457702637"	"0.12433608621358871"
"ABCC4"	"1.1781116724014282"	"0"	"0.5234810709953308"	"0.4322425425052643"	"0.22736550867557526"	"0.10689696669578552"
"ABCC5"	"-0.08314323425292969"	"0.000008979339944288165"	"0.4656524658203125"	"0.6462612748146057"	"0.13164111971855164"	"0.13893170654773712"
"ABCC6"	"-0.6545505523681641"	"1.4166910620788084e-52"	"0.09359350055456161"	"0.21367041766643524"	"0.013121480122208595"	"0.020577779039740562"
"ABCC8"	"-3.2043604850769043"	"0"	"0.01077199261635542"	"0.10545049607753754"	"0.0016494854353368282"	"0.015101916156709194"
"ABCC9"	"-1.876343846321106"	"0"	"0.21851082146167755"	"0.6484190225601196"	"0.11271319538354874"	"0.3632824420928955"
"ABCD1"	"-0.06417703628540039"	"0.020023110856684043"	"0.25011810660362244"	"0.405924528837204"	"0.042587000876665115"	"0.04448175057768822"
"ABCD2"	"-0.44807863235473633"	"1.7327698846081128e-19"	"0.06642729043960571"	"0.11559372395277023"	"0.009161950089037418"	"0.01247819047421217"
"ABCD3"	"-0.23485660552978516"	"1.8323017077917045e-55"	"0.5438911318778992"	"0.7472178339958191"	"0.1770247220993042"	"0.2053036093711853"
"ABCD4"	"-1.3280589580535889"	"0"	"0.3990361988544464"	"0.7471159100532532"	"0.08467362076044083"	"0.2003621757030487"
"ABCE1"	"-0.44188249111175537"	"0"	"0.6395162343978882"	"0.8313454389572144"	"0.2652725577354431"	"0.3454715311527252"
"ABCF1"	"-0.4613823890686035"	"0"	"0.6761787533760071"	"0.8627520799636841"	"0.32304874062538147"	"0.42202192544937134"
"ABCF2"	"-0.3668515682220459"	"3.5620297514578937e-62"	"0.2624492049217224"	"0.4788300395011902"	"0.07094180583953857"	"0.09057630598545074"
"ABCF3"	"-0.5980434417724609"	"1.3747638884138266e-241"	"0.363932728767395"	"0.6251507997512817"	"0.07188496738672256"	"0.1068936288356781"
"ABCG1"	"0.413698673248291"	"1.5388131243857768e-42"	"0.28352072834968567"	"0.2545321583747864"	"0.05712902173399925"	"0.043189018964767456"
"ABCG2"	"-1.2569818496704102"	"0"	"0.1731078177690506"	"0.39650338888168335"	"0.029377464205026627"	"0.06882826238870621"
"ABHD1"	"-1.1650137901306152"	"1.4684758302873684e-119"	"0.042379286140203476"	"0.12367262691259384"	"0.004548234399408102"	"0.010170085355639458"
"ABHD10"	"-0.2334918975830078"	"2.9829452331545077e-33"	"0.4106113612651825"	"0.6147017478942871"	"0.09521856904029846"	"0.1110486313700676"
"ABHD11"	"-0.5532059669494629"	"1.5038839254811907e-176"	"0.32292357087135315"	"0.5704928636550903"	"0.058828581124544144"	"0.08517841249704361"
"ABHD12"	"-0.890613317489624"	"0"	"0.418454110622406"	"0.7312723994255066"	"0.10861513763666153"	"0.19285860657691956"
"ABHD13"	"0.04134845733642578"	"0.014707402881880561"	"0.5136539936065674"	"0.6934009790420532"	"0.14596134424209595"	"0.14211684465408325"
"ABHD14A"	"-0.7806503772735596"	"0"	"0.44727393984794617"	"0.671203076839447"	"0.12616220116615295"	"0.20782694220542908"
